港澳频道,#genre#
靖天戏剧台,https://t.freetv.fun/live/jing-tian-xi-ju.m3u8
纬来电影台,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34852
RELAXNATURERELAXATION,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=1505569
SKYSPORTSFOOTBALL,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=1905858
SKYSPORTSMAINEVENT,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:00:3D:60&stream=1905853
TVBJ1,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:7E:2F:ED&stream=153395
TVBS[760p],https://7612-5516-affc-d88b.kylintv.tv/live/tvbshd_iphone.m3u8
大爱一,https://7612-5516-affc-d88b.kylintv.tv/live/daai_iphone.m3u8
凤凰卫视,https://7612-5516-affc-d88b.kylintv.tv/live/pxnaus_iphone.m3u8
凤凰卫视香港,https://7612-5516-affc-d88b.kylintv.tv/live/pxhkus_iphone.m3u8
凤凰卫视中文,https://7612-5516-affc-d88b.kylintv.tv/live/pxinhd_iphone.m3u8
凤凰资讯台,https://stream1.freetv.fun/a5857ad51b58a0f7a8c9cbdf291571692b0eed9f5ab2cfce97a211260533c0d8.m3u8
公视,http://74.91.26.218:82/live/pts.m3u8
公视台语,http://74.91.26.218:82/live/ptsty.m3u8
华视,http://74.91.26.218:82/live/cts.m3u8
华视,https://t.freetv.fun/live/hua-shi-2.ts
华视新闻资讯台,http://74.91.26.218:82/live/ctsnews.m3u8
靖洋卡通台,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34834
民视,http://74.91.26.218:82/live/ftv.m3u8
民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
民视第一台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv003
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
台视,http://74.91.26.218:82/live/ttv.m3u8
台视,https://t.freetv.fun/live/tai-shi-1-1.ts
台视财经,http://74.91.26.218:82/live/ttvcj.m3u8
台视财经,https://t.freetv.fun/live/tai-shi-cai-jing.ts
台视新闻台,http://74.91.26.218:82/live/ttvnews.m3u8
台视综合台,http://74.91.26.218:82/live/ttvzh.m3u8
天映经典台,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:7E:2F:ED&stream=1919463
小公视,http://74.91.26.218:82/live/ptsse.m3u8
中视,http://74.91.26.218:82/live/ctv.m3u8
